name_en	name_zh	address_en	address_zh	sub_district_en	sub_district_zh	district_en	district_zh	area_en	area_zh	x	y	lat	long
30, Wo Liu Hang Road Public Toilet	禾寮坑路30號公廁	30, Wo Liu Hang Road Public Toilet, Fo Tan, Sha Tin, NT	新界沙田火炭禾寮坑路30號公廁	Fo Tan	火炭	Sha Tin	沙田	New Territories	新界	838385	828747	22.397991669	114.19743345
A Kung Ngam Village Road Temporary Public Toilet	阿公岩村道臨時公廁	A Kung Ngam Village Road Temporary Public Toilet, Shau Kei Wan, HK	香港筲箕灣阿公岩村道臨時公廁	Shau Kei Wan	筲箕灣	Eastern	東區	Hong Kong	港島	841996	815918	22.28213025	114.232455386
Ah Kung Wan Public Toilet	亞公灣公廁	Ah Kung Wan Public Toilet, Clear Water Bay, Sai Kung, NT	新界西貢清水灣亞公灣公廁	Clear Water Bay	清水灣	Sai Kung	西貢	New Territories	新界	845294	821119	22.329084279	114.264486462
Amoy Street Public Toilet	廈門街公廁	G/F., The Aveune Phase 2, 200 Queen's Road East, Wan Chai	灣仔皇后大道東200號囍滙第二期地下	Wan Chai	灣仔	Wan Chai	灣仔	Hong Kong	港島	835758.131	815151.83	22.2752207	114.171927129
Anchor Street Playground Public Toilet	晏架街遊樂場公廁	Anchor Street Playground, Tai Kok Tsui, KLN	九龍大角咀晏架街遊樂場	Tai Kok Tsui	大角咀	Yau Tsim Mong	油尖旺	Kowloon	九龍	835011	820097	22.319878263	114.164673916
Toilet (Bride's Pool Road Barbecue Site No. 19, Sam Tam Lo)	廁所 （三担籮 新娘潭路燒烤場地19號）	Bride's Pool Road Barbecue Site No. 19, Sam Tam Lo	三担籮 新娘潭路燒烤場地19號	Others	其他	North	北區	New Territories	新界	842156	840695	22.505878587	114.234099477
Ap Lei Chau Waterfront Promenade Toilet	鴨脷洲海濱長廊廁所	Ap Lei Chau, HK	香港鴨脷洲	Ap Lei Chau	鴨脷洲	Southern	南區	Hong Kong	港島	834116.328	811805.978	22.245004188	114.15600132
Ap Lei Chau Wind Tower Park Toilet	鴨脷洲風之塔公園廁所	Ap Lei Chau, HK	香港鴨脷洲	Ap Lei Chau	鴨脷洲	Southern	南區	Hong Kong	港島	833710	811825	22.245175417	114.152059569
Apleichau Municipal Services Building Public Toilet	鴨脷洲市政大廈公廁	Ap Lei Chau Municipal Services Building, Ap Lei Chau, HK	香港鴨脷洲鴨脷洲市政大廈	Ap Lei Chau	鴨脷洲	Southern	南區	Hong Kong	港島	834056	811748	22.244480532	114.155416168
Apliu Street Public Toilet	鴨寮街公廁	Apliu Street Public Toilet, Sham Shui Po, KLN	九龍深水埗鴨寮街公廁	Sham Shui Po	深水埗	Sham Shui Po	深水埗	Kowloon	九龍	834684	821263	22.330407659	114.161498903
Arrival Goods Vehicle Clearance Plaza Public Toilet	入境貨車通關廣場公廁	Chek Lap Kok, NT	新界赤鱲角	Lantau Island	大嶼山	Islands	離島	New Territories	新界	813523.915	820063.899	22.319429583	113.956121334
Arrival Private Car Clearance Plaza Public Toilet	入境私家車通關廣場公廁	Chek Lap Kok, NT	新界赤鱲角	Lantau Island	大嶼山	Islands	離島	New Territories	新界	813402.471	820097.634	22.319732619	113.954942129
Baker Street Public Toilet	必嘉街公廁	Baker Street Refuse Collection Point, Hung Hom, KLN	九龍紅磡必嘉街垃圾收集站	Hung Hom	紅磡	Kowloon City	九龍城	Kowloon	九龍	836993	818679	22.307073172	114.183910566
Battery Street Public Toilet	炮台街公廁	Battery Street Public Toilet, Yau Ma Tei, KLN	九龍油麻地炮台街公廁	Yau Ma Tei	油麻地	Yau Tsim Mong	油尖旺	Kowloon	九龍	835456	818709	22.307344056	114.168993787
Belcher's Street Public Toilet	卑路乍街公廁	Belcher's Street Public Toilet, Shek Tong Tsui, HK	香港石塘咀卑路乍街公廁	Kennedy Town	堅尼地城	Central & Western	中西區	Hong Kong	港島	831741	816370	22.286215695	114.13294581
Big Wave Bay Beach Toilet	大浪灣泳灘廁所	Big Wave Bay Beach Toilet, Shek O, HK	香港石澳大浪灣泳灘廁所	Shek O	石澳	Southern	南區	Hong Kong	港島	843454.924	812001.666	22.246757745	114.24659436
Big Wave Bay Beach Toilet	大浪灣泳灘廁所	Big Wave Bay Beach Toilet, Shek O, HK	香港石澳大浪灣泳灘廁所	Shek O	石澳	Southern	南區	Hong Kong	港島	843476	812013	22.24686001	114.246798868
Boon Kin Village Public Toilet	半見村公廁	Boon Kin Village Public Toilet, Hang Hau, Tseung Kwan O, NT	新界將軍澳坑口半見村公廁	Hang Hau	坑口	Sai Kung	西貢	New Territories	新界	845961	819730	22.316537175	114.270952369
Bowen Road Garden Toilet	寶雲道花園廁所	Bowen Road Garden, Mid-Levels, HK	香港半山區寶雲道花園	Mid_levels	半山區	Central & Western	中西區	Hong Kong	港島	835151	814841	22.27241342	114.166036402
Bowen Road Public Toilet	寶雲道公廁	Bowen Road Park, Mid-Levels, HK	香港半山區寶雲道公園	Mid_levels	半山區	Central & Western	中西區	Hong Kong	港島	835756	814574	22.270002521	114.171906635
Bowen Road Tennis Court Toilet	寶雲道網球場廁所	Mid-Levels, HK	香港半山區	Mid_levels	半山區	Central & Western	中西區	Hong Kong	港島	835194	815043	22.274237638	114.166453485
Brewin Path Temporary Playground Toilet	蒲魯賢徑臨時遊樂場廁所	Brewin Path Temporary Playground, Mid-Levels, HK	香港半山區蒲魯賢徑臨時遊樂場	Mid_levels	半山區	Central & Western	中西區	Hong Kong	港島	834139	815091	22.274670132	114.156216915
Butterfly Beach Toilet	蝴蝶灣泳灘廁所	Butterfly Beach Toilet, Tuen Mun, NT	新界屯門蝴蝶灣泳灘廁所	Tuen Mun	屯門	Tuen Mun	屯門	New Territories	新界	813656.225	826039.096	22.373390325	113.957321039
CARE Village East Public Toilet	美援新村東公廁	CARE Village, Tai Po, NT	新界大埔美援新村	Tai Po Market	大埔	Tai Po	大埔	New Territories	新界	836513	833708	22.442793185	114.179254456
CARE Village West Public Toilet	美援新村西公廁	CARE Village West Public Toilet, Tai Po, NT	新界大埔美援新村西公廁	Tai Po Market	大埔	Tai Po	大埔	New Territories	新界	836416	833755	22.443217628	114.178312151
Caine Road Garden Toilet	堅道花園廁所	Caine Road Garden, Mid-Levels, HK	香港半山區堅道花園	Mid_levels	半山區	Central & Western	中西區	Hong Kong	港島	833322	815990	22.282787477	114.148288016
Canal Road Public Toilet	堅拿道公廁	Wan Chai, HK	香港灣仔	Wan Chai	灣仔	Wan Chai	灣仔	Hong Kong	港島	836705	815646	22.279683389	114.181114657
Castle Peak Beach Toilet	青山灣泳灘廁所	Tuen Mun, NT	新界屯門	Tuen Mun	屯門	Tuen Mun	屯門	New Territories	新界	815989	826727	22.379631564	113.979962715
Castle Peak Hospital Toilet	青山醫院廁所	Castle Peak Hospital, Tuen Mun, NT	新界屯門青山醫院	Tuen Mun	屯門	Tuen Mun	屯門	New Territories	新界	815314	829963	22.408846003	113.973365897
Castle Peak Hospital Toilet	青山醫院廁所	Castle Peak Hospital, Tuen Mun, NT	新界屯門青山醫院	Tuen Mun	屯門	Tuen Mun	屯門	New Territories	新界	815330	829969	22.408900381	113.973521212
Centre Street Public Toilet	正街公廁	Sai Ying Pun, HK	香港西營盤	Sai Ying Pun	西營盤	Central & Western	中西區	Hong Kong	港島	832654.918	816399.84	22.286487324	114.141814105
Cha Kwo Ling Road Public Toilet	茶果嶺道公廁	Cha Kwo Ling Road Public Toilet and Bathhouse, Yau Tong, KLN	九龍油塘茶果嶺道公廁及浴室	Yau Tong	油塘	Kwun Tong	觀塘	Kowloon	九龍	841570	817976	22.300716633	114.228328551
Chai Kek Village Public Toilet	寨乪村公廁	Chai Kek Village Public Toilet, Lam Tsuen Valley, Tai Po, NT	新界大埔林村谷寨乪村公廁	Tai Po Market	大埔	Tai Po	大埔	New Territories	新界	831313	833537	22.44124183	114.128739432
Chai Wan Kok Street Public Toilet	柴灣角街公廁	Chai Wan Kok Street Public Toilet, Tsuen Wan, NT	新界荃灣柴灣角街公廁	Tsuen Wan	荃灣	Tsuen Wan	荃灣	New Territories	新界	828930	826126	22.37430832	114.105624087
Chai Wan Park Toilet	柴灣公園廁所	Chai Wan Park, Chai Wan, HK	香港柴灣柴灣公園	Chai Wan 	柴灣	Eastern	東區	Hong Kong	港島	842608	814184	22.266468978	114.238387008
Chai Wan Park Toilet	柴灣公園廁所	Chai Wan Park, Chai Wan, HK	香港柴灣柴灣公園	Chai Wan 	柴灣	Eastern	東區	Hong Kong	港島	842507	814219	22.266785419	114.237407211
Chai Wan Park Toilet	柴灣公園廁所	Chai Wan Park, Chai Wan, HK	香港柴灣柴灣公園	Chai Wan 	柴灣	Eastern	東區	Hong Kong	港島	842662	813912	22.264012441	114.238909849
Chai Wan Swimming Pool Toilet	柴灣游泳池廁所	Chai Wan Swimming Pool, Chai Wan, HK	香港柴灣柴灣游泳池	Chai Wan 	柴灣	Eastern	東區	Hong Kong	港島	843464	813947	22.264325354	114.246691121
Changing Room	更衣室	Changing Room, Clear Water Bay, Sai Kung, NT	新界西貢清水灣更衣室	Clear Water Bay	清水灣	Sai Kung	西貢	New Territories	新界	846027	820435	22.322903362	114.271597247
Changing Room	更衣室	Tsuen Wan Park, Tsuen Wan, NT	新界荃灣荃灣公園	Tsuen Wan	荃灣	Tsuen Wan	荃灣	New Territories	新界	829747	825356	22.367358107	114.113560107
Chap Wai Kon Village Public Toilet	插桅桿村公廁	Chap Wai Kon Village Public Toilet, Sha Tin, NT	新界沙田插桅桿村公廁	Sha Tin	沙田	Sha Tin	沙田	New Territories	新界	839312	826626	22.378836546	114.206431879
